FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	Dbpedia_URL	label_salary	label_comp	id
1063.0	University of Alaska-Fairbanks	AK	I	686	560	432.0	508.0	914	753	572.0	677.0	74.0	125.0	118.0	40.0	404.0	http://dbpedia.org/resource/University_of_Alaska_Fairbanks	high	high	2.0
1065.0	University of Alaska-Southeast	AK	IIA	533	494	329.0	415.0	716	663	442.0	559.0	9.0	26.0	20.0	9.0	70.0	http://dbpedia.org/resource/University_of_Alaska_Southeast	medium	medium	3.0
1004.0	University of Montevallo	AL	IIA	441	385	310.0	388.0	542	473	383.0	477.0	57.0	33.0	35.0	2.0	127.0	http://dbpedia.org/resource/University_of_Montevallo	medium	medium	5.0
1008.0	Athens State College	AL	IIB	466	394	351.0	396.0	558	476	427.0	478.0	20.0	18.0	30.0	0.0	68.0	http://dbpedia.org/resource/Athens_State_University	medium	medium	6.0
1019.0	Huntingdon College	AL	IIB	339	303	287.0	301.0	421	371	347.0	366.0	8.0	15.0	19.0	2.0	44.0	http://dbpedia.org/resource/Huntingdon_College	low	low	10.0
1029.0	University of Mobile	AL	IIB	354	321	277.0	291.0	436	401	346.0	363.0	17.0	19.0	31.0	19.0	86.0	http://dbpedia.org/resource/University_of_Mobile	low	low	12.0
1036.0	Samford University	AL	IIA	565	425	363.0	449.0	710	556	476.0	578.0	83.0	46.0	77.0	9.0	215.0	http://dbpedia.org/resource/Samford_University	medium	medium	14.0
1044.0	Stillman College	AL	IIB	321	288	251.0	272.0	388	354	312.0	335.0	13.0	18.0	18.0	10.0	59.0	http://dbpedia.org/resource/Stillman_College	low	low	16.0
1047.0	Troy State University	AL	IIA	462	385	322.0	350.0	560	467	392.0	426.0	25.0	59.0	100.0	19.0	204.0	http://dbpedia.org/resource/Troy_University	medium	low	17.0
1055.0	University of Alabama in Huntsville	AL	IIA	636	443	375.0	451.0	771	540	455.0	548.0	72.0	87.0	98.0	7.0	282.0	http://dbpedia.org/resource/University_of_Alabama_in_Huntsville	medium	medium	21.0
1057.0	University of South Alabama	AL	IIA	542	426	370.0	418.0	645	514	450.0	504.0	119.0	103.0	142.0	64.0	434.0	http://dbpedia.org/resource/University_of_South_Alabama	medium	medium	22.0
1098.0	Henderson State University	AR	IIB	447	375	341.0	375.0	561	480	435.0	477.0	55.0	42.0	33.0	25.0	155.0	http://dbpedia.org/resource/Henderson_State_University	medium	medium	31.0
