FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	Dbpedia_URL	label_salary	label_comp	id
1061.0	Alaska Pacific University	AK	IIB	454	382	362.0	382.0	567	485	471.0	487.0	6.0	11.0	9.0	4.0	32.0	http://dbpedia.org/resource/Alaska_Pacific_University	medium	medium	1.0
11462.0	University of Alaska-Anchorage	AK	IIA	612	507	414.0	498.0	825	681	557.0	670.0	115.0	124.0	101.0	21.0	392.0	http://dbpedia.org/resource/University_of_Alaska_Anchorage	medium	high	4.0
1009.0	Auburn University	AL	I	580	437	374.0	455.0	692	527	451.0	546.0	366.0	354.0	301.0	66.0	1109.0	http://dbpedia.org/resource/Auburn_University	medium	medium	7.0
1012.0	Birmingham Southern College	AL	IIB	498	379	322.0	401.0	655	501	404.0	523.0	34.0	25.0	27.0	3.0	89.0	http://dbpedia.org/resource/Birmingham%E2%80%93Southern_College	medium	medium	8.0
1016.0	University of North Alabama	AL	IIB	506	412	359.0	411.0	607	508	445.0	503.0	67.0	40.0	66.0	27.0	200.0	http://dbpedia.org/resource/University_of_North_Alabama	medium	medium	9.0
1024.0	Livingston University	AL	IIB	360	304	258.0	300.0	433	369	313.0	363.0	27.0	25.0	33.0	4.0	89.0	http://dbpedia.org/resource/University_of_West_Alabama	low	low	11.0
1033.0	Oakwood College	AL	IIB	301	290	283.0	290.0	375	363	355.0	362.0	18.0	28.0	28.0	3.0	77.0	http://dbpedia.org/resource/Oakwood_University	low	low	13.0
1041.0	Spring Hill College	AL	IIB	431	352	311.0	373.0	518	425	374.0	449.0	23.0	17.0	14.0	1.0	55.0	http://dbpedia.org/resource/Spring_Hill_College	medium	medium	15.0
1050.0	Tuskegee University	AL	IIA	410	352	306.0	327.0	487	415	362.0	387.0	57.0	65.0	85.0	45.0	254.0	http://dbpedia.org/resource/Tuskegee_University	low	low	18.0
1051.0	University of Alabama	AL	I	605	447	382.0	463.0	746	563	483.0	580.0	267.0	206.0	206.0	76.0	762.0	http://dbpedia.org/resource/University_of_Alabama	medium	medium	19.0
1052.0	University of Alabama at Birmingham	AL	I	633	445	366.0	461.0	786	569	475.0	587.0	106.0	163.0	107.0	19.0	406.0	http://dbpedia.org/resource/University_of_Alabama_at_Birmingham	medium	medium	20.0
8310.0	Auburn University at Montgomery	AL	IIA	519	422	343.0	403.0	621	507	411.0	483.0	56.0	54.0	63.0	28.0	201.0	http://dbpedia.org/resource/Auburn_Montgomery	medium	medium	23.0
1085.0	University of Arkansas at Monticello	AR	IIB	453	363	330.0	349.0	561	448	402.0	428.0	23.0	24.0	48.0	22.0	117.0	http://dbpedia.org/resource/University_of_Arkansas_at_Monticello	low	low	24.0
1086.0	University of Arkansas at Pine Bluff	AR	IIB	406	366	332.0	335.0	505	457	415.0	419.0	40.0	33.0	71.0	46.0	192.0	http://dbpedia.org/resource/University_of_Arkansas_at_Pine_Bluff	low	low	25.0
1088.0	Arkansas College	AR	IIB	499	*	330.0	399.0	618	*	402.0	488.0	14.0	5.0	21.0	2.0	42.0	http://dbpedia.org/resource/Lyon_College	medium	medium	26.0
1089.0	Arkansas Tech University	AR	IIB	439	381	337.0	374.0	550	479	427.0	471.0	44.0	71.0	52.0	13.0	180.0	http://dbpedia.org/resource/Arkansas_Tech_University	medium	medium	27.0
1090.0	Arkansas State University	AR	IIA	520	433	342.0	398.0	646	541	431.0	498.0	103.0	87.0	141.0	63.0	394.0	http://dbpedia.org/resource/Arkansas_State_University	medium	medium	28.0
1092.0	University of Central Arkansas	AR	IIA	521	416	339.0	395.0	632	507	416.0	482.0	93.0	89.0	82.0	76.0	340.0	http://dbpedia.org/resource/University_of_Central_Arkansas	medium	medium	29.0
1094.0	University of the Ozarks	AR	IIB	309	280	274.0	285.0	428	383	376.0	391.0	14.0	9.0	15.0	2.0	40.0	http://dbpedia.org/resource/University_of_the_Ozarks	low	low	30.0
1099.0	Hendrix College	AR	IIB	485	399	362.0	421.0	664	534	453.0	562.0	24.0	26.0	14.0	1.0	65.0	http://dbpedia.org/resource/Hendrix_College	medium	medium	32.0
1100.0	John Brown University	AR	IIB	372	338	304.0	341.0	478	414	375.0	426.0	23.0	22.0	10.0	3.0	58.0	http://dbpedia.org/resource/John_Brown_University	low	low	33.0
1101.0	University of Arkansas at Little Rock	AR	IIA	536	416	372.0	415.0	651	506	450.0	504.0	128.0	117.0	72.0	63.0	398.0	http://dbpedia.org/resource/University_of_Arkansas_at_Little_Rock	medium	medium	34.0
1102.0	Ouachita Baptist University	AR	IIB	422	355	289.0	342.0	529	445	375.0	435.0	36.0	14.0	28.0	19.0	97.0	http://dbpedia.org/resource/Ouachita_Baptist_University	low	low	35.0
1106.0	Williams Baptist College	AR	IIB	*	*	264.0	266.0	*	*	327.0	331.0	4.0	4.0	12.0	4.0	24.0	http://dbpedia.org/resource/Williams_Baptist_College	low	low	36.0
1107.0	Southern Arkansas University	AR	IIA	461	389	321.0	362.0	575	484	402.0	453.0	27.0	31.0	34.0	23.0	115.0	http://dbpedia.org/resource/Southern_Arkansas_University	medium	medium	37.0
1108.0	University of Arkansas-Fayetteville	AR	I	563	436	379.0	452.0	686	531	461.0	550.0	314.0	198.0	225.0	54.0	806.0	http://dbpedia.org/resource/University_of_Arkansas	medium	medium	38.0
1074.0	Grand Canyon University	AZ	IIB	358	328	274.0	299.0	439	395	332.0	363.0	20.0	18.0	24.0	12.0	74.0	http://dbpedia.org/resource/Grand_Canyon_University	low	low	40.0
1081.0	Arizona State University	AZ	I	603	449	399.0	489.0	723	549	489.0	593.0	576.0	445.0	251.0	7.0	1383.0	http://dbpedia.org/resource/Arizona_State_University	medium	medium	41.0
1082.0	Northern Arizona University	AZ	I	511	422	359.0	412.0	619	518	446.0	507.0	173.0	192.0	175.0	33.0	608.0	http://dbpedia.org/resource/Northern_Arizona_University	medium	medium	42.0
1083.0	University of Arizona	AZ	I	648	462	411.0	537.0	771	561	498.0	645.0	647.0	377.0	272.0	2.0	1349.0	http://dbpedia.org/resource/University_of_Arizona	high	high	43.0
1117.0	Azusa Pacific University	CA	IIA	430	375	318.0	368.0	573	494	428.0	488.0	43.0	62.0	32.0	12.0	156.0	http://dbpedia.org/resource/Azusa_Pacific_University	medium	medium	44.0
1122.0	Biola University	CA	IIA	455	369	303.0	370.0	582	462	371.0	464.0	32.0	57.0	31.0	6.0	126.0	http://dbpedia.org/resource/Biola_University	medium	medium	45.0
1131.0	California Institute of Technology	CA	I	970	733	576.0	866.0	1204	909	717.0	1075.0	173.0	40.0	44.0	0.0	257.0	http://dbpedia.org/resource/California_Institute_of_Technology	high	high	46.0
1137.0	California State University-Fullerton	CA	IIA	605	493	387.0	544.0	760	637	506.0	690.0	393.0	120.0	105.0	5.0	623.0	http://dbpedia.org/resource/California_State_University,_Fullerton	high	high	47.0
1139.0	California State University-Long Beach	CA	IIA	600	474	401.0	542.0	751	610	521.0	685.0	491.0	171.0	112.0	6.0	780.0	http://dbpedia.org/resource/California_State_University,_Long_Beach	high	high	49.0
1141.0	California State University-Dominguez Hills	CA	IIA	605	472	392.0	548.0	759	606	593.0	705.0	178.0	52.0	37.0	1.0	268.0	http://dbpedia.org/resource/California_State_University,_Dominguez_Hills	high	high	50.0
1146.0	California State University-Chico	CA	IIA	604	482	395.0	558.0	758	631	518.0	707.0	413.0	86.0	73.0	2.0	574.0	http://dbpedia.org/resource/California_State_University,_Chico	high	high	51.0
1147.0	California State University-Fresno	CA	IIA	603	476	382.0	553.0	757	612	500.0	699.0	459.0	109.0	67.0	14.0	649.0	http://dbpedia.org/resource/California_State_University,_Fresno	high	high	52.0
1149.0	Humboldt State University	CA	IIA	593	468	387.0	543.0	746	603	507.0	688.0	213.0	38.0	50.0	0.0	301.0	http://dbpedia.org/resource/Humboldt_State_University	high	high	53.0
1155.0	San Jose State University	CA	IIA	598	486	404.0	528.0	750	623	526.0	669.0	431.0	222.0	158.0	8.0	819.0	http://dbpedia.org/resource/San_Jose_State_University	high	high	55.0
1156.0	Sonoma State University	CA	IIA	602	459	380.0	553.0	755	592	497.0	699.0	170.0	34.0	29.0	0.0	233.0	http://dbpedia.org/resource/Sonoma_State_University	high	high	56.0
1164.0	Chapman University	CA	IIA	578	470	420.0	491.0	763	627	573.0	656.0	38.0	37.0	36.0	0.0	111.0	http://dbpedia.org/resource/Chapman_University	medium	high	57.0
1170.0	Claremont McKenna College	CA	IIB	716	516	411.0	601.0	892	661	510.0	751.0	36.0	16.0	12.0	2.0	67.0	http://dbpedia.org/resource/Claremont_McKenna_College	high	high	58.0
1171.0	Harvey Mudd College	CA	IIB	771	579	454.0	638.0	961	739	588.0	805.0	34.0	14.0	20.0	0.0	68.0	http://dbpedia.org/resource/Harvey_Mudd_College	high	high	59.0
1173.0	Pomona College	CA	IIB	730	525	417.0	566.0	909	658	530.0	708.0	60.0	52.0	40.0	7.0	161.0	http://dbpedia.org/resource/Pomona_College	high	high	61.0
1174.0	Scripps College	CA	IIB	611	458	372.0	511.0	776	588	495.0	658.0	28.0	10.0	15.0	1.0	54.0	http://dbpedia.org/resource/Scripps_College	high	high	62.0
1183.0	Holy Names College	CA	IIB	484	394	275.0	368.0	542	443	311.0	413.0	10.0	22.0	18.0	1.0	51.0	http://dbpedia.org/resource/Holy_Names_University	medium	low	64.0
1238.0	Mills College	CA	IIA	593	461	407.0	492.0	737	571	507.0	612.0	28.0	16.0	23.0	2.0	70.0	http://dbpedia.org/resource/Mills_College	medium	high	66.0
