FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	Average_salary_all_ranks	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	Dbpedia_URL
1061	Alaska Pacific University	AK	IIB	454	382	362	382	567	485	471	487	6	11	9	4	32	http://dbpedia.org/resource/Alaska_Pacific_University
1063	University of Alaska-Fairbanks	AK	I	686	560	432	508	914	753	572	677	74	125	118	40	404	http://dbpedia.org/resource/University_of_Alaska_Fairbanks
1065	University of Alaska-Southeast	AK	IIA	533	494	329	415	716	663	442	559	9	26	20	9	70	http://dbpedia.org/resource/University_of_Alaska_Southeast
11462	University of Alaska-Anchorage	AK	IIA	612	507	414	498	825	681	557	670	115	124	101	21	392	http://dbpedia.org/resource/University_of_Alaska_Anchorage
1004	University of Montevallo	AL	IIA	441	385	310	388	542	473	383	477	57	33	35	2	127	http://dbpedia.org/resource/University_of_Montevallo
1008	Athens State College	AL	IIB	466	394	351	396	558	476	427	478	20	18	30	0	68	http://dbpedia.org/resource/Athens_State_University
1009	Auburn University	AL	I	580	437	374	455	692	527	451	546	366	354	301	66	1109	http://dbpedia.org/resource/Auburn_University
1012	Birmingham Southern College	AL	IIB	498	379	322	401	655	501	404	523	34	25	27	3	89	http://dbpedia.org/resource/Birmingham%E2%80%93Southern_College
1016	University of North Alabama	AL	IIB	506	412	359	411	607	508	445	503	67	40	66	27	200	http://dbpedia.org/resource/University_of_North_Alabama
1019	Huntingdon College	AL	IIB	339	303	287	301	421	371	347	366	8	15	19	2	44	http://dbpedia.org/resource/Huntingdon_College
1024	Livingston University	AL	IIB	360	304	258	300	433	369	313	363	27	25	33	4	89	http://dbpedia.org/resource/University_of_West_Alabama
1029	University of Mobile	AL	IIB	354	321	277	291	436	401	346	363	17	19	31	19	86	http://dbpedia.org/resource/University_of_Mobile
1033	Oakwood College	AL	IIB	301	290	283	290	375	363	355	362	18	28	28	3	77	http://dbpedia.org/resource/Oakwood_University
1036	Samford University	AL	IIA	565	425	363	449	710	556	476	578	83	46	77	9	215	http://dbpedia.org/resource/Samford_University
1041	Spring Hill College	AL	IIB	431	352	311	373	518	425	374	449	23	17	14	1	55	http://dbpedia.org/resource/Spring_Hill_College
1044	Stillman College	AL	IIB	321	288	251	272	388	354	312	335	13	18	18	10	59	http://dbpedia.org/resource/Stillman_College
1047	Troy State University	AL	IIA	462	385	322	350	560	467	392	426	25	59	100	19	204	http://dbpedia.org/resource/Troy_University
1050	Tuskegee University	AL	IIA	410	352	306	327	487	415	362	387	57	65	85	45	254	http://dbpedia.org/resource/Tuskegee_University
1051	University of Alabama	AL	I	605	447	382	463	746	563	483	580	267	206	206	76	762	http://dbpedia.org/resource/University_of_Alabama
1052	University of Alabama at Birmingham	AL	I	633	445	366	461	786	569	475	587	106	163	107	19	406	http://dbpedia.org/resource/University_of_Alabama_at_Birmingham
1055	University of Alabama in Huntsville	AL	IIA	636	443	375	451	771	540	455	548	72	87	98	7	282	http://dbpedia.org/resource/University_of_Alabama_in_Huntsville
1057	University of South Alabama	AL	IIA	542	426	370	418	645	514	450	504	119	103	142	64	434	http://dbpedia.org/resource/University_of_South_Alabama
8310	Auburn University at Montgomery	AL	IIA	519	422	343	403	621	507	411	483	56	54	63	28	201	http://dbpedia.org/resource/Auburn_Montgomery
1085	University of Arkansas at Monticello	AR	IIB	453	363	330	349	561	448	402	428	23	24	48	22	117	http://dbpedia.org/resource/University_of_Arkansas_at_Monticello
1086	University of Arkansas at Pine Bluff	AR	IIB	406	366	332	335	505	457	415	419	40	33	71	46	192	http://dbpedia.org/resource/University_of_Arkansas_at_Pine_Bluff
1088	Arkansas College	AR	IIB	499	*	330	399	618	*	402	488	14	5	21	2	42	http://dbpedia.org/resource/Lyon_College
1089	Arkansas Tech University	AR	IIB	439	381	337	374	550	479	427	471	44	71	52	13	180	http://dbpedia.org/resource/Arkansas_Tech_University
1090	Arkansas State University	AR	IIA	520	433	342	398	646	541	431	498	103	87	141	63	394	http://dbpedia.org/resource/Arkansas_State_University
1092	University of Central Arkansas	AR	IIA	521	416	339	395	632	507	416	482	93	89	82	76	340	http://dbpedia.org/resource/University_of_Central_Arkansas
1094	University of the Ozarks	AR	IIB	309	280	274	285	428	383	376	391	14	9	15	2	40	http://dbpedia.org/resource/University_of_the_Ozarks
1098	Henderson State University	AR	IIB	447	375	341	375	561	480	435	477	55	42	33	25	155	http://dbpedia.org/resource/Henderson_State_University
1099	Hendrix College	AR	IIB	485	399	362	421	664	534	453	562	24	26	14	1	65	http://dbpedia.org/resource/Hendrix_College
